GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TodoListJU,pl.todolist.todo.item,ItemStatus,0,21,0,0,0,4,0,1,0,1
TodoListJU,pl.todolist.todo.item,TodoItem,4,164,5,21,2,48,5,22,0,14
TodoListJU,pl.todolist.todo.core,TodoItemTitleValidator,3,59,0,8,1,16,1,10,1,6
TodoListJU,pl.todolist.todo.core,TodoListTitleValidator,5,35,0,4,2,10,1,7,1,5
TodoListJU,pl.todolist.todo.list,TodoList,0,221,1,17,0,63,1,26,0,18
TodoListJU,pl.todolist.todo.exceptions,TodoListTitleIsEmptyException,0,3,0,0,0,2,0,1,0,1
TodoListJU,pl.todolist.todo.exceptions,DuplicateListTitleException,0,3,0,0,0,2,0,1,0,1
TodoListJU,pl.todolist.todo.exceptions,TodoItemDescriptionIsTooLong,0,3,0,0,0,2,0,1,0,1
TodoListJU,pl.todolist.todo.exceptions,TodoItemDescriptionIsEmpty,0,3,0,0,0,2,0,1,0,1
TodoListJU,pl.todolist.todo.exceptions,NoSuchItemException,0,3,0,0,0,2,0,1,0,1
TodoListJU,pl.todolist.todo.exceptions,TodoItemHaveEmptyTitleOrNullValue,0,3,0,0,0,2,0,1,0,1
TodoListJU,pl.todolist.todo.exceptions,NoItemWithThisTitleException,0,3,0,0,0,2,0,1,0,1
TodoListJU,pl.todolist.todo,Main,4,0,0,0,2,0,2,0,2,0
